Wavelength	Intensity
[nm]	[uJ]

3.393242799999999875e+02	0.000000000000000000e+00
3.397027618141544849e+02	0.000000000000000000e+00
3.400812072492360016e+02	0.000000000000000000e+00
3.404596162941714965e+02	0.000000000000000000e+00
3.408379889378879852e+02	0.000000000000000000e+00
3.412163251693124835e+02	0.000000000000000000e+00
3.415946249773720069e+02	0.000000000000000000e+00
3.419728883509934576e+02	0.000000000000000000e+00
3.423511152791040217e+02	0.000000000000000000e+00
3.427293057506304308e+02	0.000000000000000000e+00
3.431074597545000415e+02	0.000000000000000000e+00
3.434855772796394717e+02	0.000000000000000000e+00
3.438636583149759076e+02	0.000000000000000000e+00
3.442417028494365354e+02	0.000000000000000000e+00
3.446197108719479729e+02	0.000000000000000000e+00
3.449976823714375200e+02	0.000000000000000000e+00
3.453756173368319651e+02	0.000000000000000000e+00
3.457535157570584943e+02	0.000000000000000000e+00
3.461313776210440096e+02	-0.000000000000000000e+00
3.465092029177155268e+02	0.000000000000000000e+00
3.468869916359999479e+02	0.000000000000000000e+00
3.472647437648245159e+02	-0.000000000000000000e+00
3.476424592931160191e+02	0.000000000000000000e+00
3.480201382098014733e+02	0.000000000000000000e+00
3.483977805038080078e+02	1.568468991224269186e-07
3.487753861640624677e+02	-1.925668516979481558e-07
3.491529551794920394e+02	5.178317450850450749e-08
3.495304875390234542e+02	2.196311906048084681e-08
3.499079832315840122e+02	1.910353478187572912e-08
3.502854422461004447e+02	3.367102787965482266e-08
3.506628645715000516e+02	4.659336165061245713e-08
3.510402501967095077e+02	-7.901019229641089394e-08
3.514175991106560559e+02	-3.180727768622372947e-08
3.517949113022664847e+02	-6.184870236073884291e-08
3.521721867604679232e+02	-3.092090653501398065e-08
3.525494254741875011e+02	-6.771367064814586650e-10
3.529266274323519497e+02	-6.884047440064487202e-10
3.533037926238885120e+02	-1.484490728032834353e-07
3.536809210377239765e+02	-4.458577727876085713e-08
3.540580126627855293e+02	5.707253357265134544e-08
3.544350674879999588e+02	1.146572022492246982e-07
3.548120855022945079e+02	-5.828022179344275166e-08
3.551890666945959651e+02	-2.933676572374667423e-08
3.555660110538314598e+02	-2.931717766467650509e-08
3.559429185689280075e+02	-5.637381931817521217e-08
3.563197892288124535e+02	-9.565225417479243196e-08
3.566966230224119840e+02	-8.005185037064916989e-08
3.570734199386534442e+02	7.729557210995154890e-08
3.574501799664639634e+02	3.737239413597194770e-08
3.578269030947704437e+02	9.943427111590636647e-08
3.582035893125000143e+02	8.638194989473236275e-08
3.585802386085795206e+02	1.358529544674115052e-07
3.589568509719359781e+02	3.604210258285853703e-08
3.593334263914964595e+02	-1.199615812354364750e-07
3.597099648561880372e+02	1.118771636128985274e-08
3.600864663549374427e+02	-1.230796832234119701e-08
3.604629308766720328e+02	-3.588258281356242400e-08
3.608393584103184821e+02	-4.770560109717564215e-08
3.612157489448039200e+02	1.129412928988970715e-08
3.615921024690555328e+02	4.654092171848607337e-08
3.619684189719999381e+02	6.935790955934520023e-08
3.623446984425644928e+02	3.383065552558116398e-08
3.627209408696759283e+02	2.198863590196224179e-08
3.630971462422614877e+02	2.194235163613229318e-08
3.634733145492479593e+02	-4.514415206694911946e-08
3.638494457795624726e+02	-4.473975983558258535e-08
3.642255399221319863e+02	-1.215245392890075820e-07
3.646015969658835161e+02	6.577633584665698747e-08
3.649776168997440209e+02	1.056913531733894177e-08
3.653535997126404595e+02	-5.544321133117312699e-08
3.657295453935000182e+02	7.598359104204642365e-08
3.661054539312494285e+02	-1.309332683863889463e-07
3.664813253148159902e+02	-4.419538232893620798e-08
3.668571595331264348e+02	-1.098174978260554876e-07
3.672329565751080054e+02	2.120387718970085663e-08
3.676087164296874903e+02	-4.346163050422796364e-08
3.679844390857920189e+02	-9.675398475663649483e-08
3.683601245323484932e+02	-6.386615555612366777e-08
3.687357727582839857e+02	-3.158577818891474202e-08
3.691113837525254553e+02	1.012052076388658341e-07
3.694869575039999745e+02	-7.086840869291929355e-08
3.698624940016345022e+02	1.932300900836752740e-08
3.702379932343559403e+02	-1.023081718480107445e-08
3.706134551910914752e+02	9.146425633726222834e-09
3.709888798607680087e+02	-1.926015621458702429e-08
3.713642672323124998e+02	-2.837142340604546179e-08
3.717396172946519641e+02	-1.022466793214579528e-07
3.721149300367134742e+02	-5.518530321429921800e-08
3.724902054474239890e+02	-4.110501338563012322e-10
3.728654435157105240e+02	4.451727242004777598e-08
3.732406442305000382e+02	8.510667098558317502e-09
3.736158075807195473e+02	-4.470124279877206926e-08
3.739909335552960101e+02	7.000528167560743899e-08
3.743660221431564423e+02	-2.640219765495502503e-08
3.747410733332279733e+02	-3.498957632116600331e-08
3.751160871144374482e+02	-2.609918808989465843e-08
3.754910634757119965e+02	1.007169881815642095e-07
3.758660024059784632e+02	1.627469920093691957e-08
3.762409038941640347e+02	-4.167918975251109431e-08
3.766157679291954992e+02	3.221891365981246835e-08
3.769905944999999861e+02	-4.066146716901362166e-08
3.773653835955044542e+02	-8.294356433860230551e-09
3.777401352046360330e+02	-3.535122482347389246e-10
3.781148493163215107e+02	-3.484088311554819789e-10
3.784895259194879600e+02	4.509881649027994797e-08
3.788641650030625101e+02	-3.022573106387569332e-08
3.792387665559719494e+02	-2.977518973577650070e-08
3.796133305671435210e+02	5.791838515642636195e-08
3.799878570255040131e+02	6.432634864282475997e-08
3.803623459199804984e+02	-3.556934031809585971e-08
3.807367972394999924e+02	-4.196514397204175701e-08
3.811112109729895110e+02	-2.771853387450741211e-08
3.814855871093760129e+02	4.033953896771212102e-08
3.818599256375865139e+02	6.690715540603138222e-08
3.822342265465480295e+02	-2.024946226452371080e-08
3.826084898251874620e+02	6.300768075369415299e-09
3.829827154624319974e+02	6.223782566115113022e-09
3.833569034472084809e+02	-3.268559835952180094e-08
3.837310537684439851e+02	-3.239755098630697371e-08
3.841051664150654688e+02	6.070467907656748722e-09
3.844792413760000045e+02	-1.291902009829472534e-08
3.848532786401744374e+02	-3.808678242780088424e-08
3.852272781965160107e+02	-1.909417321450307455e-08
3.856012400339514556e+02	8.060165753104428465e-08
3.859751641414080154e+02	-1.260830735942602153e-08
3.863490505078124784e+02	-4.923122536962457957e-08
3.867228991220919170e+02	1.185229040576265543e-08
3.870967099731734606e+02	-6.311631527557762519e-09
3.874704830499839545e+02	-2.691889522153952909e-10
3.878442183414504711e+02	2.335186583149076244e-08
3.882179158364999694e+02	5.588688518586468363e-09
3.885915755240595217e+02	4.605675384932326885e-08
3.889651973930559734e+02	-7.993317769072888414e-08
3.893387814324165106e+02	1.105476089371390077e-08
3.897123276310680353e+02	2.218246854232060013e-08
3.900858359779375064e+02	3.856683901878752377e-08
3.904593064619519396e+02	-1.127516717500630310e-08
3.908327390720384642e+02	2.694481776036125910e-08
3.912061337971239823e+02	1.052616201279831358e-08
3.915794906261354527e+02	1.040896111352180561e-08
3.919528095479999479e+02	-1.081001033764135719e-08
3.923260905516444836e+02	-1.072106099645598778e-08
3.926993336259960188e+02	3.088851829492973009e-08
3.930725387599815122e+02	2.031415682301652833e-08
3.934457059425279795e+02	4.842678655826183835e-09
3.938188351625624364e+02	-1.024940368090843585e-08
3.941919264090120123e+02	-2.249156656022649394e-10
3.945649796708034955e+02	-4.408636901492012505e-08
3.949379949368640155e+02	2.874577223862675211e-08
3.953109721961204741e+02	2.842885580652638524e-08
3.956839114375000008e+02	-2.143782854178622281e-10
3.960568126499294976e+02	-1.881832318990764275e-08
3.964296758223359802e+02	3.651757883726258861e-08
3.968025009436465211e+02	-1.383745756117993116e-08
3.971752880027879655e+02	3.564375165640930226e-08
3.975480369886874996e+02	3.538249248805637746e-08
3.979207478902720254e+02	-9.009227243212789795e-09
3.982934206964685586e+02	-1.328123893623302711e-08
3.986660553962040012e+02	1.276425207512115206e-08
3.990386519784054826e+02	-2.163352162719175614e-10
3.994112104319999617e+02	4.045630985159777753e-09
3.997837307459144540e+02	4.020660762641930633e-09
4.001562129090759754e+02	-2.529571156604145095e-08
4.005286569104114847e+02	-1.674940895818196484e-08
4.009010627388479975e+02	-1.865282871584284303e-10
4.012734303833124727e+02	-3.693294731902755819e-08
4.016457598327320397e+02	-1.229799912831766640e-08
4.020180510760334869e+02	2.798618138921898601e-08
4.023903041021440004e+02	-4.022392651603629390e-08
4.027625188999904822e+02	-5.195853004081067406e-08
4.031346954584999480e+02	-1.206634756757618621e-08
4.035068337665994704e+02	3.774625108489867801e-09
4.038789338132160083e+02	-1.799960471936402394e-10
4.042509955872764635e+02	1.546017191340384078e-08
4.046230190777079656e+02	-4.080641973452462422e-09
4.049950042734374733e+02	-1.183716848647047293e-08
4.053669511633919456e+02	-7.910124946566481125e-09
4.057388597364985117e+02	-1.942493570062126682e-08
4.061107299816839600e+02	-1.930540513140560428e-08
4.064825618878755336e+02	3.019517301479244338e-08
4.068543554439999639e+02	3.613659205715174344e-09
4.072261106389844940e+02	3.751034844449373572e-08
4.075978274617559691e+02	-1.513537336037873633e-08
4.079695059012415186e+02	1.100646419570738111e-08
4.083411459463679876e+02	-3.712278468010017535e-08
4.087127475860624486e+02	3.513694340745180947e-09
4.090843108092520310e+02	-1.115202329063192018e-08
4.094558356048634664e+02	2.167575092943152627e-08
4.098273219618239978e+02	3.460531487250969522e-09
