Wavelength	Intensity
[nm]	[uJ]

3.393242799999999875e+02	0.000000000000000000e+00
3.397027618141544849e+02	0.000000000000000000e+00
3.400812072492360016e+02	0.000000000000000000e+00
3.404596162941714965e+02	0.000000000000000000e+00
3.408379889378879852e+02	0.000000000000000000e+00
3.412163251693124835e+02	0.000000000000000000e+00
3.415946249773720069e+02	0.000000000000000000e+00
3.419728883509934576e+02	0.000000000000000000e+00
3.423511152791040217e+02	0.000000000000000000e+00
3.427293057506304308e+02	0.000000000000000000e+00
3.431074597545000415e+02	0.000000000000000000e+00
3.434855772796394717e+02	0.000000000000000000e+00
3.438636583149759076e+02	-0.000000000000000000e+00
3.442417028494365354e+02	0.000000000000000000e+00
3.446197108719479729e+02	-0.000000000000000000e+00
3.449976823714375200e+02	0.000000000000000000e+00
3.453756173368319651e+02	0.000000000000000000e+00
3.457535157570584943e+02	0.000000000000000000e+00
3.461313776210440096e+02	-0.000000000000000000e+00
3.465092029177155268e+02	0.000000000000000000e+00
3.468869916359999479e+02	0.000000000000000000e+00
3.472647437648245159e+02	-0.000000000000000000e+00
3.476424592931160191e+02	0.000000000000000000e+00
3.480201382098014733e+02	0.000000000000000000e+00
3.483977805038080078e+02	-1.731362633371739291e-07
3.487753861640624677e+02	-2.664336140993583591e-07
3.491529551794920394e+02	9.644758324462807880e-08
3.495304875390234542e+02	3.764519129335634376e-08
3.499079832315840122e+02	-7.285595948138674152e-09
3.502854422461004447e+02	-4.070347260191705958e-08
3.506628645715000516e+02	1.046355018797981283e-07
3.510402501967095077e+02	-6.833580622165534858e-08
3.514175991106560559e+02	-6.795990463447639867e-08
3.517949113022664847e+02	-1.126057149333552569e-07
3.521721867604679232e+02	-9.626795474299818095e-08
3.525494254741875011e+02	2.461272189526641506e-08
3.529266274323519497e+02	-3.525887423989732427e-08
3.533037926238885120e+02	2.417404236476534735e-08
3.536809210377239765e+02	9.712515281429182834e-08
3.540580126627855293e+02	-1.964067404085528322e-08
3.544350674879999588e+02	6.683659342138873762e-08
3.548120855022945079e+02	-5.241805435988327958e-09
3.551890666945959651e+02	-7.689128612565422946e-08
3.555660110538314598e+02	-9.121899724650259538e-08
3.559429185689280075e+02	-8.873405390711847282e-08
3.563197892288124535e+02	-1.851571572413962723e-08
3.566966230224119840e+02	-4.811787629615417239e-09
3.570734199386534442e+02	4.720551955960071564e-08
3.574501799664639634e+02	-2.990515923556091795e-08
3.578269030947704437e+02	1.454350421535861036e-07
3.582035893125000143e+02	7.001853148613812820e-08
3.585802386085795206e+02	1.071228144067448633e-07
3.589568509719359781e+02	3.216684330821360317e-08
3.593334263914964595e+02	7.571327362620697996e-09
3.597099648561880372e+02	-4.261395218558466550e-09
3.600864663549374427e+02	-5.139513278106008583e-08
3.604629308766720328e+02	-2.784482892547005796e-08
3.608393584103184821e+02	-5.147826232779920644e-08
3.612157489448039200e+02	-7.506696979626302307e-08
3.615921024690555328e+02	-2.783243168852580812e-08
3.619684189719999381e+02	7.436209213578590026e-09
3.623446984425644928e+02	6.453484557974805659e-08
3.627209408696759283e+02	8.586201632080607567e-08
3.630971462422614877e+02	5.203269658525617331e-08
3.634733145492479593e+02	-4.055825894389031225e-09
3.638494457795624726e+02	-4.824288660618886362e-08
3.642255399221319863e+02	-4.800167437472334975e-08
3.646015969658835161e+02	-3.719701988878400352e-08
3.649776168997440209e+02	4.020776440130496952e-08
3.653535997126404595e+02	-1.498246145320968290e-08
3.657295453935000182e+02	-3.962066738663079368e-09
3.661054539312494285e+02	-9.088932052588449179e-08
3.664813253148159902e+02	3.970177114726261063e-08
3.668571595331264348e+02	-2.585884018643324417e-08
3.672329565751080054e+02	6.908881883418661298e-09
3.676087164296874903e+02	-3.916385541034883950e-09
3.679844390857920189e+02	-8.945898989049938959e-08
3.683601245323484932e+02	-5.665662367075130699e-08
3.687357727582839857e+02	6.589309103967262017e-09
3.691113837525254553e+02	-3.421448970617143915e-08
3.694869575039999745e+02	-1.371347040910841941e-08
3.698624940016345022e+02	1.617791354149790919e-08
3.702379932343559403e+02	-2.308001588706178578e-08
3.706134551910914752e+02	-1.306941761534037237e-08
3.709888798607680087e+02	6.016890975584184513e-09
3.713642672323124998e+02	2.455985319124362725e-08
3.717396172946519641e+02	-1.051836108521182010e-07
3.721149300367134742e+02	-5.809053888115922854e-08
3.724902054474239890e+02	2.396713915598493562e-08
3.728654435157105240e+02	1.469026585149021292e-08
3.732406442305000382e+02	-2.109777581001184281e-08
3.736158075807195473e+02	-4.752526652016218760e-08
3.739909335552960101e+02	-3.202881217733365128e-09
3.743660221431564423e+02	-3.115034484770113860e-09
3.747410733332279733e+02	3.144147958605613448e-08
3.751160871144374482e+02	-3.739987001915710161e-08
3.754910634757119965e+02	3.906871019765487108e-08
3.758660024059784632e+02	-1.969176533311882764e-08
3.762409038941640347e+02	-6.909503379332250691e-08
3.766157679291954992e+02	1.333706012052746782e-08
3.769905944999999861e+02	5.112252136787291734e-09
3.773653835955044542e+02	1.296740878384993798e-08
3.777401352046360330e+02	-1.839973481662942809e-08
3.781148493163215107e+02	4.882803429032237881e-09
3.784895259194879600e+02	1.997146209241808635e-08
3.788641650030625101e+02	-3.260347975279276432e-08
3.792387665559719494e+02	-8.365447764543296386e-08
3.796133305671435210e+02	-2.450477242135992461e-08
3.799878570255040131e+02	-6.731602339716282633e-08
3.803623459199804984e+02	-3.076413748639897281e-08
3.807367972394999924e+02	-7.195545961411172015e-08
3.811112109729895110e+02	-9.360211670010635141e-09
3.814855871093760129e+02	-9.242130235520658626e-09
3.818599256375865139e+02	-2.261639401631183825e-08
3.822342265465480295e+02	-6.223401803160450563e-08
3.826084898251874620e+02	-8.995190927839463427e-09
3.829827154624319974e+02	-2.367575702023345487e-09
3.833569034472084809e+02	-8.826763628012849609e-09
3.837310537684439851e+02	-4.086056797924928661e-08
3.841051664150654688e+02	3.582881548036387889e-08
3.844792413760000045e+02	1.666160481350662227e-08
3.848532786401744374e+02	-5.901720968829949782e-08
3.852272781965160107e+02	-3.990467164239386685e-08
3.856012400339514556e+02	4.752377583389316370e-08
3.859751641414080154e+02	-8.420525866363659106e-09
3.863490505078124784e+02	-9.403659137302090448e-08
3.867228991220919170e+02	-8.261771674253460621e-09
3.870967099731734606e+02	-8.206192685243098909e-09
3.874704830499839545e+02	-2.169962760869903780e-09
3.878442183414504711e+02	1.556928579719432290e-08
3.882179158364999694e+02	3.725778495353895522e-09
3.885915755240595217e+02	9.467063601232550491e-09
3.889651973930559734e+02	-1.045292657858183304e-07
3.893387814324165106e+02	-2.057713395092720171e-09
3.897123276310680353e+02	-3.010026596280349801e-08
3.900858359779375064e+02	-7.565249797304827651e-09
3.904593064619519396e+02	-7.520066231085826366e-09
3.908327390720384642e+02	-1.982229405508309337e-09
3.912061337971239823e+02	-3.429314990201268385e-08
3.915794906261354527e+02	-1.937250462123614673e-09
3.919528095479999479e+02	-1.777772728147713268e-08
3.923260905516444836e+02	-2.810529237357898412e-08
3.926993336259960188e+02	3.441964608474049749e-08
3.930725387599815122e+02	8.406627976884690213e-09
3.934457059425279795e+02	-6.918886109384875947e-09
3.938188351625624364e+02	-2.687938735329020575e-08
3.941919264090120123e+02	-3.649350866492003418e-08
3.945649796708034955e+02	-2.613798647336139898e-08
3.949379949368640155e+02	3.073095068364023512e-09
3.953109721961204741e+02	-1.736024622084605854e-09
3.956839114375000008e+02	-1.585554728290225892e-08
3.960568126499294976e+02	-3.426579259566496543e-08
3.964296758223359802e+02	2.128942651635803747e-08
3.968025009436465211e+02	-6.197068240948171082e-09
3.971752880027879655e+02	-1.508055821780129666e-08
3.975480369886874996e+02	2.951729770199128130e-08
3.979207478902720254e+02	-2.362701359444744238e-08
3.982934206964685586e+02	-1.032060588486933665e-08
3.986660553962040012e+02	-1.021308543483320355e-08
3.990386519784054826e+02	1.557093287829020581e-08
3.994112104319999617e+02	-5.778786561702070973e-09
3.997837307459144540e+02	-1.541591654528786926e-09
4.001562129090759754e+02	2.654599041344380438e-09
4.005286569104114847e+02	-5.643903091993961708e-09
4.009010627388479975e+02	2.614322853732434762e-09
4.012734303833124727e+02	-2.597981780822149024e-08
4.016457598327320397e+02	1.472635283259603037e-08
4.020180510760334869e+02	3.072307458538512529e-08
4.023903041021440004e+02	-1.746989468815575114e-08
4.027625188999904822e+02	-4.127167070971819413e-08
4.031346954584999480e+02	1.442131113308580718e-08
4.035068337665994704e+02	6.461926569711737959e-09
4.038789338132160083e+02	2.500792711903386720e-09
4.042509955872764635e+02	-1.419216765387757816e-09
4.046230190777079656e+02	2.589069859087048028e-08
4.049950042734374733e+02	-2.473895546291525123e-08
4.053669511633919456e+02	-2.849361255615401695e-08
4.057388597364985117e+02	-2.835223999149469909e-08
4.061107299816839600e+02	-3.200413403435571882e-08
4.064825618878755336e+02	-2.417088360457066701e-08
4.068543554439999639e+02	-1.383592879597251327e-09
4.072261106389844940e+02	6.167108917550527503e-09
4.075978274617559691e+02	-3.503054078519677280e-08
4.079695059012415186e+02	-1.998919158728310002e-08
4.083411459463679876e+02	-3.829944148176188955e-08
4.087127475860624486e+02	-1.332894978122180266e-09
4.090843108092520310e+02	-4.992633982086230467e-09
4.094558356048634664e+02	2.318623427824893196e-09
