Wavelength	Intensity
[nm]	[uJ]

3.393242799999999875e+02	0.000000000000000000e+00
3.397027618141544849e+02	0.000000000000000000e+00
3.400812072492360016e+02	0.000000000000000000e+00
3.404596162941714965e+02	0.000000000000000000e+00
3.408379889378879852e+02	0.000000000000000000e+00
3.412163251693124835e+02	0.000000000000000000e+00
3.415946249773720069e+02	0.000000000000000000e+00
3.419728883509934576e+02	0.000000000000000000e+00
3.423511152791040217e+02	0.000000000000000000e+00
3.427293057506304308e+02	0.000000000000000000e+00
3.431074597545000415e+02	0.000000000000000000e+00
3.434855772796394717e+02	0.000000000000000000e+00
3.438636583149759076e+02	0.000000000000000000e+00
3.442417028494365354e+02	0.000000000000000000e+00
3.446197108719479729e+02	-0.000000000000000000e+00
3.449976823714375200e+02	-0.000000000000000000e+00
3.453756173368319651e+02	0.000000000000000000e+00
3.457535157570584943e+02	0.000000000000000000e+00
3.461313776210440096e+02	0.000000000000000000e+00
3.465092029177155268e+02	-0.000000000000000000e+00
3.468869916359999479e+02	0.000000000000000000e+00
3.472647437648245159e+02	-0.000000000000000000e+00
3.476424592931160191e+02	0.000000000000000000e+00
3.480201382098014733e+02	0.000000000000000000e+00
3.483977805038080078e+02	3.964284114823382167e-08
3.487753861640624677e+02	-1.911236307443834522e-07
3.491529551794920394e+02	1.325862982727645565e-07
3.495304875390234542e+02	4.600259389918155406e-08
3.499079832315840122e+02	-1.200695245402617108e-07
3.502854422461004447e+02	-6.888391758901706324e-08
3.506628645715000516e+02	7.884143905362569759e-08
3.510402501967095077e+02	3.133247611508326142e-08
3.514175991106560559e+02	-3.108321458887740528e-08
3.517949113022664847e+02	-1.070398180056115527e-07
3.521721867604679232e+02	3.026246349341542108e-08
3.525494254741875011e+02	-3.010000650140150398e-08
3.529266274323519497e+02	-8.954802398981286371e-08
3.533037926238885120e+02	-4.432215160225390847e-08
3.536809210377239765e+02	-1.463588270247648958e-08
3.540580126627855293e+02	-1.154255757744092399e-07
3.544350674879999588e+02	1.153129160827309070e-07
3.548120855022945079e+02	-1.152796765353014365e-07
3.551890666945959651e+02	-5.732698676899367424e-08
3.555660110538314598e+02	5.731305929870908784e-08
3.559429185689280075e+02	2.787305175928855334e-08
3.563197892288124535e+02	-1.629362528337381414e-07
3.566966230224119840e+02	-1.192203301112576295e-07
3.570734199386534442e+02	7.787779888737327459e-08
3.574501799664639634e+02	-1.265360974651720155e-08
3.578269030947704437e+02	7.111904464807722291e-07
3.582035893125000143e+02	9.936893361007932145e-08
3.585802386085795206e+02	3.721770370247593950e-08
3.589568509719359781e+02	1.219805164428505235e-08
3.593334263914964595e+02	-5.968821543328479893e-08
3.597099648561880372e+02	-4.689344307330843911e-08
3.600864663549374427e+02	-8.246926619931440390e-08
3.604629308766720328e+02	1.177384491520713515e-08
3.608393584103184821e+02	-8.257187934651804632e-08
3.612157489448039200e+02	-1.177181181910279395e-08
3.615921024690555328e+02	2.353877602118305451e-08
3.619684189719999381e+02	2.636256529742318147e-11
3.623446984425644928e+02	1.145153516863535230e-08
3.627209408696759283e+02	8.994708491008081732e-08
3.630971462422614877e+02	4.490111681360852765e-08
3.634733145492479593e+02	-1.115483100149602267e-08
3.638494457795624726e+02	-8.845809984126495614e-08
3.642255399221319863e+02	-6.600257501621500880e-08
3.646015969658835161e+02	-5.527419206596387942e-08
3.649776168997440209e+02	1.108000307306937818e-08
3.653535997126404595e+02	5.491478369971561987e-08
3.657295453935000182e+02	6.419899110079427221e-12
3.661054539312494285e+02	-1.195881689168746246e-07
3.664813253148159902e+02	-5.462510942308710678e-08
3.668571595331264348e+02	-1.421293142650083552e-07
3.672329565751080054e+02	3.254755206531624993e-08
3.676087164296874903e+02	-7.521230741807288472e-08
3.679844390857920189e+02	-2.140193620886656306e-07
3.683601245323484932e+02	1.059380039803799840e-08
3.687357727582839857e+02	-5.179186106455994814e-08
3.691113837525254553e+02	-7.121505103687636599e-08
3.694869575039999745e+02	-1.008156535817100603e-08
3.698624940016345022e+02	-9.863639274402473104e-09
3.702379932343559403e+02	-7.813426204683671414e-08
3.706134551910914752e+02	-2.875409099342950238e-08
3.709888798607680087e+02	-3.768314505348270972e-08
3.713642672323124998e+02	-1.862755825885243935e-08
3.717396172946519641e+02	-4.626924698624525523e-08
3.721149300367134742e+02	-5.477057392310519538e-08
3.724902054474239890e+02	2.727580256267900585e-08
3.728654435157105240e+02	-7.192898059723909496e-08
3.732406442305000382e+02	-4.464366238807766470e-08
3.736158075807195473e+02	-5.316164958046071410e-08
3.739909335552960101e+02	-4.404996469752524208e-08
3.743660221431564423e+02	-6.945148554125043032e-08
3.747410733332279733e+02	2.663604191747865345e-12
3.751160871144374482e+02	-3.540485819972312232e-12
3.754910634757119965e+02	3.370657185187890636e-08
3.758660024059784632e+02	8.317946422580042072e-09
3.762409038941640347e+02	-1.651041017791949418e-08
3.766157679291954992e+02	-5.708935283137785494e-08
3.769905944999999861e+02	-5.640889041701342160e-08
3.773653835955044542e+02	-2.379677086367417087e-08
3.777401352046360330e+02	-9.343971130345878348e-08
3.781148493163215107e+02	1.534325697072133971e-08
3.784895259194879600e+02	-2.273152231374273859e-08
3.788641650030625101e+02	-5.978772576202898307e-08
3.792387665559719494e+02	-4.415809826866933719e-08
3.796133305671435210e+02	-4.372306637830402710e-08
3.799878570255040131e+02	-3.593603775170465011e-08
3.803623459199804984e+02	-1.410396427500706731e-08
3.807367972394999924e+02	-5.553787912877807367e-08
3.811112109729895110e+02	-1.370415371359938117e-08
3.814855871093760129e+02	-2.275061154738792985e-12
3.818599256375865139e+02	-1.344652356242005145e-08
3.822342265465480295e+02	-3.322696138179396113e-08
3.826084898251874620e+02	-5.279581323576152432e-08
3.829827154624319974e+02	-1.955201467700115465e-08
3.833569034472084809e+02	3.121845745108718309e-12
3.837310537684439851e+02	-2.567877547388880725e-08
3.841051664150654688e+02	-3.180592848478321102e-08
3.844792413760000045e+02	-1.263061672511218694e-08
3.848532786401744374e+02	-5.041596594107218456e-08
3.852272781965160107e+02	-6.271789347653856741e-08
3.856012400339514556e+02	5.600675218795144959e-08
3.859751641414080154e+02	-1.233206363035559083e-08
3.863490505078124784e+02	-3.058760330367506083e-08
3.867228991220919170e+02	-1.213152586197094552e-08
3.870967099731734606e+02	-2.406287561570413827e-13
3.874704830499839545e+02	-1.789647911417117795e-08
3.878442183414504711e+02	2.362113733219300518e-08
3.882179158364999694e+02	-5.709526085541199525e-12
3.885915755240595217e+02	5.211618147704752295e-08
3.889651973930559734e+02	-6.830651673879115819e-08
3.893387814324165106e+02	-1.697949735826790672e-08
3.897123276310680353e+02	-3.928128660794454191e-08
3.900858359779375064e+02	-5.549076741885779463e-09
3.904593064619519396e+02	1.102275108450832052e-08
3.908327390720384642e+02	1.088106550253543695e-08
3.912061337971239823e+02	-3.771589413262141531e-08
3.915794906261354527e+02	-1.551766074016853551e-12
3.919528095479999479e+02	-4.227547630148511775e-08
3.923260905516444836e+02	-5.242168854345656161e-08
3.926993336259960188e+02	5.186070930692168056e-09
3.930725387599815122e+02	1.027509188674354944e-08
3.934457059425279795e+02	1.521512490622568161e-08
3.938188351625624364e+02	5.012819503257202654e-09
3.941919264090120123e+02	-3.965007902126952312e-08
3.945649796708034955e+02	-7.800402076467136243e-08
3.949379949368640155e+02	-1.931867999402841744e-08
3.953109721961204741e+02	-4.774293547075289073e-09
3.956839114375000008e+02	-1.413753676522575240e-08
3.960568126499294976e+02	-4.653048181653218241e-08
3.964296758223359802e+02	4.589743340390331955e-09
3.968025009436465211e+02	-1.362972924278215020e-08
3.971752880027879655e+02	-6.066667626288200801e-13
3.975480369886874996e+02	1.779685663562298415e-08
3.979207478902720254e+02	-3.083708897927485611e-08
3.982934206964685586e+02	-1.308403972158627168e-08
3.986660553962040012e+02	-1.296450596434824294e-08
3.990386519784054826e+02	4.281065039624766694e-09
3.994112104319999617e+02	-3.815434668445446559e-08
3.997837307459144540e+02	-1.685783749949517891e-08
4.001562129090759754e+02	-3.346188406512422233e-12
4.005286569104114847e+02	-1.656103857804035743e-08
4.009010627388479975e+02	-3.288160666597939309e-08
4.012734303833124727e+02	-4.900710550085722604e-08
4.016457598327320397e+02	2.093992702167585184e-11
4.020180510760334869e+02	2.816356385265258694e-08
4.023903041021440004e+02	-4.003116489409074500e-08
4.027625188999904822e+02	-3.583734291709939524e-08
4.031346954584999480e+02	-3.960705470504049071e-09
4.035068337665994704e+02	-2.768226918154172513e-08
4.038789338132160083e+02	-1.571624598327847666e-08
4.042509955872764635e+02	1.641901925325113083e-12
4.046230190777079656e+02	3.900612445453056199e-09
4.049950042734374733e+02	-7.773556730362081250e-09
4.053669511633919456e+02	6.295845330707085991e-12
4.057388597364985117e+02	-1.924928624308635357e-08
4.061107299816839600e+02	-7.651143930828642283e-09
4.064825618878755336e+02	-1.899041549353103575e-08
4.068543554439999639e+02	-7.582101376163684439e-09
4.072261106389844940e+02	1.130678649643820135e-08
4.075978274617559691e+02	-2.992553416519018826e-08
4.079695059012415186e+02	-2.981054968214512627e-08
4.083411459463679876e+02	-1.107658925089896611e-08
4.087127475860624486e+02	3.681665748604408638e-09
4.090843108092520310e+02	-2.564256428760872703e-08
