Wavelength	Intensity
[nm]	[uJ]

3.393242799999999875e+02	0.000000000000000000e+00
3.397027618141544849e+02	0.000000000000000000e+00
3.400812072492360016e+02	0.000000000000000000e+00
3.404596162941714965e+02	0.000000000000000000e+00
3.408379889378879852e+02	0.000000000000000000e+00
3.412163251693124835e+02	0.000000000000000000e+00
3.415946249773720069e+02	0.000000000000000000e+00
3.419728883509934576e+02	0.000000000000000000e+00
3.423511152791040217e+02	0.000000000000000000e+00
3.427293057506304308e+02	-0.000000000000000000e+00
3.431074597545000415e+02	0.000000000000000000e+00
3.434855772796394717e+02	0.000000000000000000e+00
3.438636583149759076e+02	0.000000000000000000e+00
3.442417028494365354e+02	0.000000000000000000e+00
3.446197108719479729e+02	-0.000000000000000000e+00
3.449976823714375200e+02	-0.000000000000000000e+00
3.453756173368319651e+02	0.000000000000000000e+00
3.457535157570584943e+02	0.000000000000000000e+00
3.461313776210440096e+02	-0.000000000000000000e+00
3.465092029177155268e+02	-0.000000000000000000e+00
3.468869916359999479e+02	0.000000000000000000e+00
3.472647437648245159e+02	0.000000000000000000e+00
3.476424592931160191e+02	0.000000000000000000e+00
3.480201382098014733e+02	0.000000000000000000e+00
3.483977805038080078e+02	2.541281731931820662e-07
3.487753861640624677e+02	-4.012544758131288159e-07
3.491529551794920394e+02	-1.561883256120825875e-08
3.495304875390234542e+02	7.836145350040832283e-08
3.499079832315840122e+02	2.820050057044199633e-08
3.502854422461004447e+02	-1.824410911384798530e-07
3.506628645715000516e+02	1.010527085363123816e-07
3.510402501967095077e+02	6.903611790539387250e-08
3.514175991106560559e+02	-4.031494676314765145e-08
3.517949113022664847e+02	-1.772791030482779781e-07
3.521721867604679232e+02	3.644727364683506216e-08
3.525494254741875011e+02	6.119746025920190518e-09
3.529266274323519497e+02	-2.376952102129028887e-08
3.533037926238885120e+02	-5.309735007004691290e-08
3.536809210377239765e+02	-5.261239156354650177e-08
3.540580126627855293e+02	3.477216074703342864e-08
3.544350674879999588e+02	3.473026717764510624e-08
3.548120855022945079e+02	5.889851000403383510e-09
3.551890666945959651e+02	-1.805507079666197942e-07
3.555660110538314598e+02	-3.713348011573435985e-08
3.559429185689280075e+02	-7.791775139595389580e-08
3.563197892288124535e+02	-1.166324284764646612e-07
3.566966230224119840e+02	-6.078542596452989462e-08
3.570734199386534442e+02	3.127388132161905637e-08
3.574501799664639634e+02	-5.809752350831785079e-08
3.578269030947704437e+02	1.051141426537463381e-07
3.582035893125000143e+02	7.961064563099181405e-08
3.585802386085795206e+02	1.167031940741906085e-07
3.589568509719359781e+02	5.379406408741859023e-08
3.593334263914964595e+02	-5.480852590680234033e-08
3.597099648561880372e+02	4.794217544249015685e-09
3.600864663549374427e+02	-6.941647346490745286e-09
3.604629308766720328e+02	5.193313395368244074e-08
3.608393584103184821e+02	4.021345115565445269e-08
3.612157489448039200e+02	-6.594916207071009453e-08
3.615921024690555328e+02	-7.762446952110685988e-08
3.619684189719999381e+02	1.643701851963333482e-08
3.623446984425644928e+02	3.903690571413351116e-08
3.627209408696759283e+02	-2.911093686243624589e-08
3.630971462422614877e+02	-5.155832447805377013e-08
3.634733145492479593e+02	-4.006142041561607035e-08
3.638494457795624726e+02	-1.758444265288775053e-08
3.642255399221319863e+02	-7.250589624633948928e-08
3.646015969658835161e+02	-6.530494905304815320e-09
3.649776168997440209e+02	-3.966797648378587930e-08
3.653535997126404595e+02	-5.046582688891758252e-08
3.657295453935000182e+02	-2.831140560735774983e-08
3.661054539312494285e+02	-1.803641492941391235e-07
3.664813253148159902e+02	-5.015439722964197212e-08
3.668571595331264348e+02	-7.203946469579059860e-08
3.672329565751080054e+02	-1.726920100848192509e-08
3.676087164296874903e+02	-6.006937443360830229e-08
3.679844390857920189e+02	-3.840425359717219945e-08
3.683601245323484932e+02	-3.792059836830111900e-08
3.687357727582839857e+02	-4.755317553104885666e-08
3.691113837525254553e+02	-7.723346533452198438e-08
3.694869575039999745e+02	1.416360445103497247e-08
3.698624940016345022e+02	3.371705044613746074e-08
3.702379932343559403e+02	-5.459532359551651971e-08
3.706134551910914752e+02	-4.399590430798434428e-08
3.709888798607680087e+02	9.807592224931736432e-08
3.713642672323124998e+02	1.312985294622721373e-08
3.717396172946519641e+02	-7.952450142990111233e-08
3.721149300367134742e+02	-5.103937942497348578e-08
3.724902054474239890e+02	6.734666153199714978e-08
3.728654435157105240e+02	-7.724512233667099983e-08
3.732406442305000382e+02	-3.205701138799939018e-08
3.736158075807195473e+02	-7.612862358587781548e-08
3.739909335552960101e+02	3.000760167658374790e-08
3.743660221431564423e+02	-5.089197778604861254e-09
3.747410733332279733e+02	-1.375277131436674819e-08
3.751160871144374482e+02	-7.363937726202637941e-08
3.754910634757119965e+02	-1.341359761780307843e-08
3.758660024059784632e+02	3.406942021404186783e-09
3.762409038941640347e+02	-7.099601378176994882e-08
3.766157679291954992e+02	3.593944459972087074e-08
3.769905944999999861e+02	-6.118063230243855224e-08
3.773653835955044542e+02	-1.261766721665410441e-08
3.777401352046360330e+02	3.183740366565929291e-09
3.781148493163215107e+02	-5.827186266149455870e-08
3.784895259194879600e+02	7.125428203258812478e-08
3.788641650030625101e+02	3.056564676575142428e-09
3.792387665559719494e+02	-6.324267963793240155e-08
3.796133305671435210e+02	-4.073752103186186569e-08
3.799878570255040131e+02	-5.456946815882953098e-08
3.803623459199804984e+02	-8.880320747322678686e-08
3.807367972394999924e+02	-5.963880812193632253e-08
3.811112109729895110e+02	-9.319670505893542678e-08
3.814855871093760129e+02	-1.078803678276060696e-08
3.818599256375865139e+02	-1.742518491338232969e-08
3.822342265465480295e+02	-4.380049219528256566e-08
3.826084898251874620e+02	-1.709281989358802024e-08
3.829827154624319974e+02	-4.948582449661753525e-08
3.833569034472084809e+02	-3.620096967275014902e-08
3.837310537684439851e+02	-3.589698769206655523e-08
3.841051664150654688e+02	2.803064436382540043e-08
3.844792413760000045e+02	2.590766099263064519e-09
3.848532786401744374e+02	-8.570560945918690813e-08
3.852272781965160107e+02	-1.624846502585660746e-08
3.856012400339514556e+02	7.720430927857131249e-08
3.859751641414080154e+02	-4.063487457812998911e-08
3.863490505078124784e+02	-5.868934338042696507e-08
3.867228991220919170e+02	-1.570042665710558021e-08
3.870967099731734606e+02	-3.573110374350837336e-09
3.874704830499839545e+02	-3.522960532992909530e-09
3.878442183414504711e+02	-4.484952216538827285e-08
3.882179158364999694e+02	-3.464563559148723218e-09
3.885915755240595217e+02	1.395759676558215506e-08
3.889651973930559734e+02	-1.058233136382361804e-07
3.893387814324165106e+02	2.314247912659307440e-09
3.897123276310680353e+02	-4.259306866928808421e-08
3.900858359779375064e+02	2.444114494101507419e-08
3.904593064619519396e+02	2.980872799657551041e-08
3.908327390720384642e+02	-8.654778595163950729e-09
3.912061337971239823e+02	-3.012284499157451500e-08
3.915794906261354527e+02	-1.913447964395369619e-08
3.919528095479999479e+02	-1.897493829465403231e-08
3.923260905516444836e+02	-4.502085842517561695e-08
3.926993336259960188e+02	1.249932473300039790e-08
3.930725387599815122e+02	-3.386815758110336980e-08
3.934457059425279795e+02	-8.074433809812510433e-09
3.938188351625624364e+02	2.709600163199012865e-08
3.941919264090120123e+02	-2.275287858250240995e-08
3.945649796708034955e+02	-1.749868716777119668e-08
3.949379949368640155e+02	1.646065520088218505e-08
3.953109721961204741e+02	1.627712382761261617e-08
3.956839114375000008e+02	-1.221125392623375105e-08
3.960568126499294976e+02	1.902859810760824561e-09
3.964296758223359802e+02	1.565411470150243553e-08
3.968025009436465211e+02	1.094836591187725878e-08
3.971752880027879655e+02	-2.058294545635720699e-08
3.975480369886874996e+02	1.516222176915288476e-08
3.979207478902720254e+02	1.800400349105977212e-09
3.982934206964685586e+02	-2.438740571735777359e-08
3.986660553962040012e+02	6.088081703077129307e-09
3.990386519784054826e+02	1.031593039543002780e-08
3.994112104319999617e+02	-2.503758426085856493e-09
3.997837307459144540e+02	1.435999331837735956e-08
4.001562129090759754e+02	-2.758140019946312252e-08
4.005286569104114847e+02	-6.584970590583782511e-09
4.009010627388479975e+02	-1.886965396774651246e-08
4.012734303833124727e+02	-5.551666826385900192e-08
4.016457598327320397e+02	5.716792316093679737e-09
4.020180510760334869e+02	1.372182816640205620e-08
4.023903041021440004e+02	-1.837366745371862385e-08
4.027625188999904822e+02	-5.811416348878158889e-08
4.031346954584999480e+02	1.352081866360818817e-08
4.035068337665994704e+02	-5.376456527728085656e-08
4.038789338132160083e+02	1.339118987088365429e-08
4.042509955872764635e+02	1.602586639113949428e-09
4.046230190777079656e+02	-2.182272484060573831e-08
4.049950042734374733e+02	1.324821126310238465e-08
4.053669511633919456e+02	-4.486116275235755269e-08
4.057388597364985117e+02	-3.308454268169042292e-08
4.061107299816839600e+02	-3.288000128011309183e-08
4.064825618878755336e+02	9.146039229192428602e-09
4.068543554439999639e+02	-1.740327186970331169e-08
4.072261106389844940e+02	1.661809447622241105e-08
4.075978274617559691e+02	9.007542921302493357e-09
4.079695059012415186e+02	-9.654402426662205817e-09
4.083411459463679876e+02	-4.283831655974157737e-08
4.087127475860624486e+02	-9.528468700564613507e-09
4.090843108092520310e+02	-1.314970434652688650e-08
4.094558356048634664e+02	-2.149001302825300237e-09
